id,item_name,category,color,size,gender,season,price,material
684,Zip Crop Top,Crop Top,Black,XS,Male,Spring,PKR 1854,Nylon
685,Casual Skirt,Skirt,Blue,XL,Female,Winter,PKR 3726,Linen
686,Sporty Shorts,Shorts,Green,L,Unisex,Spring,PKR 3901,Polyester
687,Zip Crop Top,Crop Top,Yellow,XS,Unisex,Autumn,PKR 4593,Wool
688,Casual Jacket,Jacket,Red,L,Unisex,Winter,PKR 4711,Leather
689,Zip Handbag,Handbag,White,,Female,Summer,PKR 1699,Polyester
690,Casual Handbag,Handbag,Red,,Male,Spring,PKR 3184,Nylon
691,Urban Shorts,Shorts,Beige,L,Female,Autumn,PKR 6371,Linen
692,Relaxed Handbag,Handbag,Pink,,Unisex,Autumn,PKR 5542,Nylon
693,Floral Skirt,Skirt,Black,XL,Female,Spring,PKR 4797,Polyester
694,Sporty Crop Top,Crop Top,White,S,Female,Spring,PKR 8257,Denim
695,Sporty Crop Top,Crop Top,Grey,XL,Male,Winter,PKR 3312,Linen
696,Casual Jeans,Jeans,Red,XL,Unisex,Winter,PKR 5995,Polyester
697,Casual Handbag,Handbag,Beige,,Unisex,Summer,PKR 7034,Cotton
698,Floral Heels,Heels,White,,Female,Spring,PKR 5686,Linen
699,Mini Boots,Boots,Black,S,Unisex,Winter,PKR 8031,Wool
700,Graphic Jeans,Jeans,Beige,XL,Male,Winter,PKR 8728,Leather
701,Urban Sneakers,Sneakers,Yellow,XS,Male,Autumn,PKR 8690,Nylon
702,Zip Jeans,Jeans,Beige,L,Male,Summer,PKR 6899,Leather
703,Floral Hoodie,Hoodie,Blue,XS,Unisex,Autumn,PKR 2483,Linen
704,Mini Skirt,Skirt,Pink,S,Female,Winter,PKR 6314,Leather
705,Zip Heels,Heels,Green,,Female,Autumn,PKR 5770,Cotton
706,Relaxed Sneakers,Sneakers,Pink,XS,Female,Autumn,PKR 5054,Silk
707,Casual Hoodie,Hoodie,Pink,XS,Unisex,Summer,PKR 5274,Nylon
708,Classic Sneakers,Sneakers,Beige,M,Unisex,Spring,PKR 1733,Wool
709,Classic Skirt,Skirt,Brown,XL,Unisex,Summer,PKR 6336,Linen
710,Elegant Skirt,Skirt,Yellow,M,Female,Summer,PKR 6207,Silk
711,Floral Crop Top,Crop Top,Green,S,Male,Spring,PKR 8207,Nylon
712,Urban Jeans,Jeans,Black,S,Female,Winter,PKR 5945,Linen
713,Elegant Jacket,Jacket,Red,XS,Male,Summer,PKR 1931,Silk
714,Graphic Sneakers,Sneakers,Yellow,S,Male,Autumn,PKR 1352,Nylon
715,Floral Jacket,Jacket,White,S,Male,Autumn,PKR 3623,Denim
716,Floral Heels,Heels,Black,,Unisex,Winter,PKR 2770,Polyester
717,Graphic Handbag,Handbag,Red,,Male,Summer,PKR 3275,Wool
718,Zip Skirt,Skirt,Beige,S,Male,Autumn,PKR 4670,Leather
719,Classic Hoodie,Hoodie,Black,L,Unisex,Winter,PKR 7943,Silk
720,Mini Crop Top,Crop Top,Black,S,Male,Summer,PKR 6814,Silk
721,Graphic Skirt,Skirt,Brown,M,Female,Spring,PKR 1583,Linen
722,Classic Shorts,Shorts,Yellow,M,Unisex,Summer,PKR 5980,Denim
723,Urban Heels,Heels,Red,,Unisex,Spring,PKR 8918,Wool
724,Zip Jacket,Jacket,Green,L,Female,Summer,PKR 5450,Silk
725,Relaxed Skirt,Skirt,Beige,XL,Female,Summer,PKR 8500,Nylon
726,Urban Hoodie,Hoodie,Green,S,Male,Autumn,PKR 6364,Leather
727,Relaxed Shorts,Shorts,Black,M,Female,Spring,PKR 6411,Linen
728,Floral Jeans,Jeans,Yellow,XL,Male,Winter,PKR 3992,Nylon
729,Sporty Skirt,Skirt,Grey,L,Unisex,Spring,PKR 4392,Polyester
730,Classic Jacket,Jacket,Red,XL,Female,Summer,PKR 6460,Cotton
731,Urban Hoodie,Hoodie,White,XS,Unisex,Autumn,PKR 4623,Denim
732,Sporty Sneakers,Sneakers,White,L,Female,Summer,PKR 4590,Denim
733,Classic Hoodie,Hoodie,Grey,L,Male,Summer,PKR 8152,Nylon
734,Floral Heels,Heels,Beige,,Unisex,Spring,PKR 3212,Polyester
735,Floral Handbag,Handbag,White,,Unisex,Winter,PKR 2010,Wool
736,Zip Jeans,Jeans,Pink,XL,Unisex,Autumn,PKR 2651,Polyester
737,Urban Jacket,Jacket,Green,XL,Unisex,Autumn,PKR 2067,Silk
738,Sporty Jeans,Jeans,Green,L,Female,Spring,PKR 5810,Leather
739,Elegant Hoodie,Hoodie,Black,XL,Unisex,Winter,PKR 5031,Polyester
740,Casual Sneakers,Sneakers,Pink,M,Male,Autumn,PKR 6218,Silk
741,Urban Jacket,Jacket,Yellow,XS,Female,Spring,PKR 1707,Polyester
742,Casual Shorts,Shorts,Beige,XS,Female,Spring,PKR 7075,Nylon
743,Classic Sneakers,Sneakers,Yellow,L,Female,Summer,PKR 5887,Denim
744,Elegant Jacket,Jacket,Yellow,L,Female,Summer,PKR 6275,Denim
745,Graphic Hoodie,Hoodie,White,M,Male,Summer,PKR 4224,Denim
746,Urban Heels,Heels,Black,,Female,Winter,PKR 5321,Silk
747,Floral Crop Top,Crop Top,Pink,S,Unisex,Summer,PKR 3589,Polyester
748,Classic Hoodie,Hoodie,Blue,XL,Unisex,Summer,PKR 6834,Leather
749,Classic Hoodie,Hoodie,Yellow,XS,Male,Spring,PKR 3662,Polyester
750,Zip Shorts,Shorts,Blue,S,Unisex,Winter,PKR 3361,Silk
751,Sporty Skirt,Skirt,Beige,XL,Male,Summer,PKR 4713,Wool
752,Mini Jeans,Jeans,Beige,L,Male,Autumn,PKR 8595,Nylon
753,Relaxed Crop Top,Crop Top,Pink,XL,Female,Summer,PKR 5939,Linen
754,Mini Skirt,Skirt,Brown,M,Unisex,Spring,PKR 4613,Polyester
755,Casual Heels,Heels,Red,,Female,Winter,PKR 2976,Linen
756,Casual Sneakers,Sneakers,Beige,XL,Female,Autumn,PKR 7301,Silk
757,Mini Jeans,Jeans,Red,XS,Male,Summer,PKR 7736,Silk
758,Classic Jeans,Jeans,Grey,S,Female,Winter,PKR 8369,Leather
759,Classic Handbag,Handbag,Black,,Female,Summer,PKR 7969,Cotton
760,Relaxed Heels,Heels,Grey,,Female,Summer,PKR 6415,Nylon
761,Relaxed Crop Top,Crop Top,Yellow,XL,Male,Spring,PKR 4477,Wool
762,Mini Shorts,Shorts,Black,L,Male,Spring,PKR 4491,Silk
763,Relaxed Sneakers,Sneakers,Beige,S,Male,Spring,PKR 8728,Leather
764,Sporty Sneakers,Sneakers,Blue,L,Female,Autumn,PKR 8166,Wool
765,Floral Crop Top,Crop Top,White,XS,Unisex,Autumn,PKR 5111,Linen
766,Zip Sneakers,Sneakers,Beige,M,Male,Summer,PKR 3828,Wool
767,Floral Crop Top,Crop Top,White,XL,Male,Winter,PKR 7293,Wool
768,Floral Crop Top,Crop Top,Brown,S,Unisex,Summer,PKR 6724,Wool
769,Casual Handbag,Handbag,Green,,Female,Summer,PKR 6573,Silk
770,Classic Jacket,Jacket,Beige,XL,Unisex,Spring,PKR 4201,Silk
771,Graphic Heels,Heels,Grey,,Female,Winter,PKR 3963,Leather
772,Floral Skirt,Skirt,White,S,Female,Autumn,PKR 3918,Polyester
773,Relaxed Sneakers,Sneakers,Yellow,XS,Male,Autumn,PKR 5353,Polyester
774,Zip Heels,Heels,Beige,,Unisex,Autumn,PKR 3716,Denim
775,Sporty Handbag,Handbag,Black,,Female,Autumn,PKR 7742,Wool
776,Elegant Skirt,Skirt,Pink,S,Male,Spring,PKR 6459,Cotton
777,Classic Heels,Heels,Red,,Female,Autumn,PKR 1509,Wool
778,Zip Crop Top,Crop Top,Yellow,XS,Unisex,Summer,PKR 7438,Denim
779,Urban Sneakers,Sneakers,Pink,XS,Female,Autumn,PKR 6207,Linen
780,Mini Hoodie,Hoodie,Black,XL,Unisex,Summer,PKR 3664,Linen
781,Urban Handbag,Handbag,Black,,Male,Winter,PKR 4057,Cotton
782,Relaxed Jacket,Jacket,Red,M,Unisex,Winter,PKR 4187,Nylon
783,Elegant Crop Top,Crop Top,Blue,XS,Female,Summer,PKR 8007,Nylon
784,Graphic Skirt,Skirt,Beige,XS,Unisex,Autumn,PKR 3863,Leather
785,Graphic Crop Top,Crop Top,Grey,S,Female,Autumn,PKR 7811,Wool
786,Floral Heels,Heels,Pink,,Female,Spring,PKR 8017,Cotton
787,Classic Skirt,Skirt,Blue,XL,Male,Winter,PKR 6168,Cotton
788,Zip Sneakers,Sneakers,Brown,S,Unisex,Autumn,PKR 4399,Polyester
789,Classic Skirt,Skirt,Grey,S,Unisex,Spring,PKR 5932,Leather
790,Casual Handbag,Handbag,White,,Male,Winter,PKR 1869,Leather
791,Elegant Shorts,Shorts,Black,L,Unisex,Spring,PKR 2271,Nylon
792,Relaxed Heels,Heels,Yellow,,Female,Autumn,PKR 1552,Silk
793,Classic Shorts,Shorts,Beige,L,Male,Spring,PKR 8610,Silk
794,Classic Crop Top,Crop Top,White,M,Male,Autumn,PKR 6065,Nylon
795,Relaxed Jacket,Jacket,Blue,XL,Female,Summer,PKR 6375,Nylon
796,Relaxed Skirt,Skirt,Brown,XL,Unisex,Spring,PKR 1928,Leather
797,Relaxed Heels,Heels,Beige,,Female,Winter,PKR 7860,Cotton
798,Relaxed Shorts,Shorts,Black,XS,Male,Summer,PKR 4107,Polyester
799,Zip Skirt,Skirt,Yellow,XS,Female,Spring,PKR 4527,Linen
800,Zip Sneakers,Sneakers,Brown,M,Male,Autumn,PKR 7876,Silk
801,Zip Shorts,Shorts,Blue,XS,Unisex,Autumn,PKR 6736,Cotton
802,Graphic Boots,Boots,White,L,Female,Winter,PKR 1555,Nylon
803,Sporty Handbag,Handbag,Green,,Unisex,Winter,PKR 6539,Polyester
804,Floral Boots,Boots,Yellow,M,Male,Spring,PKR 7332,Polyester
805,Zip Shorts,Shorts,Blue,S,Male,Summer,PKR 8330,Cotton
806,Elegant Hoodie,Hoodie,Blue,S,Male,Spring,PKR 4852,Denim
807,Sporty Jacket,Jacket,Red,L,Female,Autumn,PKR 5586,Wool
808,Zip Crop Top,Crop Top,White,XL,Female,Summer,PKR 5562,Linen
809,Elegant Heels,Heels,Blue,,Female,Autumn,PKR 1496,Linen
810,Relaxed Sneakers,Sneakers,Pink,XS,Male,Winter,PKR 7232,Cotton
811,Urban Handbag,Handbag,Yellow,,Female,Autumn,PKR 1554,Nylon
812,Mini Jeans,Jeans,Blue,S,Male,Winter,PKR 8207,Leather
813,Classic Heels,Heels,Grey,,Male,Summer,PKR 5656,Cotton
814,Graphic Jacket,Jacket,Brown,XL,Male,Spring,PKR 2093,Leather
815,Zip Hoodie,Hoodie,Yellow,XL,Unisex,Autumn,PKR 4646,Denim
816,Elegant Handbag,Handbag,Yellow,,Unisex,Autumn,PKR 6335,Polyester
817,Urban Shorts,Shorts,Grey,S,Female,Winter,PKR 7985,Nylon
818,Sporty Shorts,Shorts,Green,XS,Female,Spring,PKR 2712,Nylon
819,Zip Skirt,Skirt,White,S,Male,Autumn,PKR 7504,Wool
820,Elegant Handbag,Handbag,Green,,Female,Summer,PKR 4661,Cotton
821,Casual Skirt,Skirt,Black,XL,Male,Spring,PKR 3234,Cotton
822,Zip Sneakers,Sneakers,Yellow,M,Unisex,Winter,PKR 3748,Cotton
823,Floral Heels,Heels,Yellow,,Unisex,Summer,PKR 4814,Linen
824,Casual Hoodie,Hoodie,Blue,XS,Unisex,Summer,PKR 1431,Leather
825,Floral Shorts,Shorts,Red,XS,Unisex,Autumn,PKR 4916,Denim
826,Mini Handbag,Handbag,Beige,,Female,Spring,PKR 6243,Cotton
827,Classic Shorts,Shorts,White,XL,Male,Autumn,PKR 1379,Silk
828,Floral Skirt,Skirt,Blue,XS,Male,Autumn,PKR 8878,Polyester
829,Classic Hoodie,Hoodie,Brown,XS,Female,Summer,PKR 4458,Cotton
830,Casual Jeans,Jeans,Grey,S,Male,Summer,PKR 3486,Polyester
831,Relaxed Heels,Heels,Black,,Male,Summer,PKR 1855,Cotton
832,Sporty Boots,Boots,Yellow,S,Female,Winter,PKR 7068,Wool
833,Floral Heels,Heels,Black,,Male,Spring,PKR 2098,Linen
834,Sporty Handbag,Handbag,Brown,,Male,Winter,PKR 4060,Linen
835,Elegant Boots,Boots,Blue,XS,Female,Winter,PKR 3582,Silk
836,Sporty Shorts,Shorts,Red,XL,Male,Autumn,PKR 6809,Linen
837,Relaxed Skirt,Skirt,Beige,S,Female,Spring,PKR 8259,Polyester
838,Classic Sneakers,Sneakers,Blue,XS,Female,Autumn,PKR 4195,Leather
839,Mini Handbag,Handbag,Brown,,Female,Spring,PKR 3267,Wool
840,Relaxed Handbag,Handbag,Red,,Female,Summer,PKR 7385,Nylon
841,Zip Sneakers,Sneakers,Blue,M,Unisex,Summer,PKR 7641,Nylon
842,Mini Sneakers,Sneakers,Yellow,S,Unisex,Autumn,PKR 1864,Cotton
843,Graphic Sneakers,Sneakers,Grey,XL,Unisex,Spring,PKR 3692,Wool
844,Casual Handbag,Handbag,Red,,Female,Autumn,PKR 6359,Linen
845,Sporty Crop Top,Crop Top,Brown,L,Unisex,Spring,PKR 2106,Leather
846,Zip Crop Top,Crop Top,Red,S,Unisex,Spring,PKR 7220,Denim
847,Zip Shorts,Shorts,Blue,L,Female,Summer,PKR 2927,Leather
848,Sporty Jacket,Jacket,Brown,L,Female,Winter,PKR 3252,Polyester
849,Floral Boots,Boots,Grey,S,Unisex,Spring,PKR 5691,Polyester
850,Elegant Jeans,Jeans,Brown,S,Female,Summer,PKR 3692,Silk
851,Elegant Heels,Heels,Blue,,Female,Spring,PKR 1988,Nylon
852,Sporty Jeans,Jeans,Blue,L,Male,Winter,PKR 7389,Silk
853,Graphic Shorts,Shorts,Yellow,L,Female,Summer,PKR 7135,Polyester
854,Elegant Handbag,Handbag,Brown,,Female,Autumn,PKR 3824,Linen
855,Relaxed Jeans,Jeans,Grey,S,Unisex,Winter,PKR 5949,Silk
856,Elegant Sneakers,Sneakers,Yellow,XS,Female,Autumn,PKR 1233,Cotton
857,Elegant Jeans,Jeans,Pink,S,Female,Spring,PKR 8677,Denim
858,Urban Heels,Heels,Black,,Female,Summer,PKR 2129,Polyester
859,Sporty Heels,Heels,Yellow,,Male,Summer,PKR 5455,Nylon
860,Mini Hoodie,Hoodie,Grey,XL,Female,Winter,PKR 6382,Polyester
861,Elegant Crop Top,Crop Top,Red,L,Unisex,Spring,PKR 6515,Silk
862,Mini Jeans,Jeans,Grey,XL,Female,Winter,PKR 3441,Silk
863,Classic Hoodie,Hoodie,Blue,XL,Female,Summer,PKR 6086,Polyester
864,Mini Handbag,Handbag,Black,,Unisex,Summer,PKR 6045,Nylon
865,Casual Skirt,Skirt,Beige,M,Male,Winter,PKR 2331,Leather
866,Sporty Jeans,Jeans,Beige,XL,Female,Spring,PKR 2702,Cotton
867,Relaxed Skirt,Skirt,Red,XS,Female,Winter,PKR 4382,Polyester
868,Casual Handbag,Handbag,White,,Male,Summer,PKR 6316,Linen
869,Elegant Jeans,Jeans,Yellow,XL,Unisex,Summer,PKR 1833,Silk
870,Sporty Sneakers,Sneakers,White,M,Female,Spring,PKR 1722,Silk
871,Casual Jacket,Jacket,Blue,XS,Unisex,Winter,PKR 4046,Denim
872,Relaxed Jacket,Jacket,Black,XL,Unisex,Spring,PKR 8716,Silk
873,Sporty Jacket,Jacket,Yellow,L,Female,Summer,PKR 1542,Silk
874,Casual Boots,Boots,Green,L,Male,Summer,PKR 5633,Denim
875,Casual Jeans,Jeans,Beige,M,Male,Winter,PKR 5223,Silk
876,Floral Jacket,Jacket,Grey,XS,Unisex,Winter,PKR 5823,Linen
877,Sporty Sneakers,Sneakers,Green,XS,Unisex,Winter,PKR 2698,Cotton
878,Zip Skirt,Skirt,White,M,Male,Spring,PKR 1244,Wool
879,Mini Handbag,Handbag,Green,,Unisex,Autumn,PKR 8414,Cotton
880,Elegant Boots,Boots,Brown,S,Unisex,Summer,PKR 7429,Linen
881,Elegant Jacket,Jacket,Brown,M,Female,Summer,PKR 4604,Wool
882,Elegant Shorts,Shorts,Green,M,Female,Summer,PKR 5958,Wool
883,Floral Handbag,Handbag,Yellow,,Unisex,Summer,PKR 5681,Polyester
884,Sporty Handbag,Handbag,Brown,,Male,Winter,PKR 4678,Linen
885,Sporty Heels,Heels,Beige,,Male,Autumn,PKR 5598,Denim
886,Mini Crop Top,Crop Top,Blue,XL,Unisex,Summer,PKR 5422,Wool
887,Classic Boots,Boots,Yellow,XS,Male,Spring,PKR 8718,Silk
888,Mini Shorts,Shorts,Pink,S,Female,Summer,PKR 4807,Silk
889,Mini Handbag,Handbag,Pink,,Female,Spring,PKR 5498,Wool
890,Graphic Handbag,Handbag,Grey,,Female,Winter,PKR 7625,Linen
891,Casual Hoodie,Hoodie,Grey,L,Unisex,Winter,PKR 6257,Cotton
892,Floral Jeans,Jeans,Yellow,XL,Unisex,Winter,PKR 3383,Nylon
893,Floral Sneakers,Sneakers,Red,XS,Male,Summer,PKR 2949,Polyester
894,Elegant Handbag,Handbag,Pink,,Unisex,Spring,PKR 8563,Linen
895,Casual Jacket,Jacket,Blue,S,Male,Summer,PKR 1424,Nylon
896,Mini Shorts,Shorts,Yellow,XS,Female,Winter,PKR 4310,Leather
897,Graphic Sneakers,Sneakers,Grey,M,Male,Spring,PKR 2427,Denim
898,Classic Handbag,Handbag,Yellow,,Female,Summer,PKR 3117,Denim
899,Floral Sneakers,Sneakers,Blue,M,Unisex,Winter,PKR 2227,Linen
900,Mini Heels,Heels,Black,,Female,Winter,PKR 2054,Silk
901,Elegant Heels,Heels,Red,,Female,Spring,PKR 6234,Polyester
902,Casual Heels,Heels,Brown,,Male,Autumn,PKR 6740,Cotton
903,Urban Skirt,Skirt,Beige,XL,Female,Winter,PKR 1680,Silk
904,Sporty Jeans,Jeans,Pink,L,Male,Summer,PKR 6455,Polyester
905,Classic Boots,Boots,Brown,S,Male,Autumn,PKR 6156,Wool
906,Floral Hoodie,Hoodie,Brown,XL,Male,Autumn,PKR 5683,Nylon
907,Mini Jeans,Jeans,Grey,L,Male,Spring,PKR 3654,Leather
908,Elegant Handbag,Handbag,Green,,Male,Winter,PKR 6215,Leather
909,Sporty Hoodie,Hoodie,Yellow,M,Male,Summer,PKR 2208,Polyester
910,Graphic Sneakers,Sneakers,Beige,S,Unisex,Autumn,PKR 4933,Leather
911,Classic Shorts,Shorts,Blue,XS,Male,Summer,PKR 4713,Wool
912,Classic Hoodie,Hoodie,Grey,M,Female,Winter,PKR 4375,Denim
913,Relaxed Hoodie,Hoodie,White,XL,Male,Spring,PKR 4331,Wool
914,Floral Hoodie,Hoodie,Beige,XL,Male,Spring,PKR 7988,Polyester
915,Graphic Shorts,Shorts,Grey,M,Male,Winter,PKR 8575,Nylon
916,Casual Sneakers,Sneakers,White,M,Female,Winter,PKR 5109,Silk
917,Casual Crop Top,Crop Top,Green,L,Female,Winter,PKR 8677,Silk
918,Zip Shorts,Shorts,Black,XS,Female,Autumn,PKR 3515,Linen
919,Zip Hoodie,Hoodie,Blue,S,Unisex,Spring,PKR 4202,Cotton
920,Sporty Sneakers,Sneakers,Grey,M,Unisex,Winter,PKR 3048,Silk
921,Zip Heels,Heels,Blue,,Unisex,Spring,PKR 2777,Linen
922,Relaxed Jeans,Jeans,Beige,L,Female,Spring,PKR 1346,Denim
923,Relaxed Handbag,Handbag,Black,,Female,Winter,PKR 3654,Silk
924,Sporty Hoodie,Hoodie,Blue,M,Female,Winter,PKR 4661,Nylon
925,Casual Jacket,Jacket,White,XS,Male,Autumn,PKR 2281,Nylon
926,Classic Skirt,Skirt,White,M,Male,Summer,PKR 4618,Leather
927,Mini Crop Top,Crop Top,Blue,XL,Male,Summer,PKR 7717,Silk
928,Classic Sneakers,Sneakers,Pink,XS,Female,Autumn,PKR 4970,Nylon
929,Graphic Boots,Boots,White,M,Female,Autumn,PKR 2539,Silk
930,Relaxed Hoodie,Hoodie,Red,L,Female,Spring,PKR 3750,Nylon
931,Relaxed Jeans,Jeans,Beige,S,Female,Autumn,PKR 6525,Silk
932,Classic Sneakers,Sneakers,Beige,M,Female,Winter,PKR 7537,Linen
933,Elegant Handbag,Handbag,Red,,Unisex,Autumn,PKR 1497,Linen
934,Zip Boots,Boots,Grey,XS,Female,Summer,PKR 2780,Leather
935,Graphic Crop Top,Crop Top,Brown,L,Female,Autumn,PKR 7979,Denim
936,Urban Handbag,Handbag,Grey,,Male,Spring,PKR 7850,Leather
937,Relaxed Skirt,Skirt,Blue,S,Unisex,Winter,PKR 1277,Wool
938,Sporty Jacket,Jacket,Grey,XS,Female,Summer,PKR 3702,Cotton
939,Floral Jacket,Jacket,Grey,XL,Unisex,Winter,PKR 5736,Nylon
940,Sporty Boots,Boots,Black,XS,Male,Summer,PKR 8627,Cotton
941,Casual Jacket,Jacket,Black,XS,Female,Spring,PKR 1834,Polyester
942,Urban Heels,Heels,Brown,,Female,Winter,PKR 1281,Polyester
943,Casual Crop Top,Crop Top,Grey,XL,Female,Winter,PKR 6059,Nylon
944,Mini Jeans,Jeans,Green,XL,Unisex,Autumn,PKR 3941,Polyester
945,Zip Boots,Boots,Brown,XS,Unisex,Autumn,PKR 6476,Polyester
946,Floral Handbag,Handbag,White,,Unisex,Spring,PKR 7281,Linen
947,Classic Hoodie,Hoodie,Yellow,L,Male,Autumn,PKR 6297,Polyester
948,Classic Skirt,Skirt,Black,M,Male,Autumn,PKR 8211,Leather
949,Urban Handbag,Handbag,Blue,,Male,Summer,PKR 5372,Polyester
950,Urban Jeans,Jeans,Yellow,M,Male,Summer,PKR 5261,Denim
951,Urban Handbag,Handbag,White,,Female,Spring,PKR 8506,Nylon
952,Relaxed Jeans,Jeans,Beige,L,Female,Summer,PKR 2230,Denim
953,Urban Skirt,Skirt,Yellow,XL,Female,Spring,PKR 2844,Denim
954,Casual Skirt,Skirt,Green,XS,Unisex,Summer,PKR 8688,Denim
955,Relaxed Heels,Heels,Beige,,Female,Spring,PKR 5079,Nylon
956,Elegant Jacket,Jacket,Red,XS,Female,Autumn,PKR 1911,Denim
957,Classic Handbag,Handbag,Yellow,,Male,Winter,PKR 4226,Leather
958,Mini Hoodie,Hoodie,Blue,M,Female,Summer,PKR 5378,Denim
959,Classic Crop Top,Crop Top,Beige,M,Male,Winter,PKR 7009,Denim
960,Classic Jeans,Jeans,Blue,XS,Male,Autumn,PKR 8251,Leather
961,Sporty Jacket,Jacket,Grey,L,Female,Spring,PKR 4048,Leather
962,Relaxed Sneakers,Sneakers,Red,S,Female,Winter,PKR 4167,Nylon
963,Mini Jacket,Jacket,Yellow,S,Female,Winter,PKR 5423,Nylon
964,Graphic Hoodie,Hoodie,White,XS,Male,Summer,PKR 3073,Wool
965,Zip Sneakers,Sneakers,Grey,S,Female,Spring,PKR 8551,Linen
966,Relaxed Crop Top,Crop Top,Yellow,XL,Female,Spring,PKR 2247,Nylon
967,Classic Boots,Boots,Pink,XS,Female,Autumn,PKR 5480,Linen
968,Floral Sneakers,Sneakers,Yellow,XS,Female,Spring,PKR 4315,Cotton
969,Casual Hoodie,Hoodie,White,S,Unisex,Autumn,PKR 1658,Polyester
970,Relaxed Boots,Boots,Grey,L,Female,Winter,PKR 3720,Nylon
971,Urban Jeans,Jeans,Pink,XS,Unisex,Winter,PKR 2672,Denim
972,Urban Sneakers,Sneakers,Brown,XS,Male,Winter,PKR 2722,Silk
973,Floral Jacket,Jacket,Black,L,Unisex,Summer,PKR 4581,Linen
974,Relaxed Jeans,Jeans,Green,M,Unisex,Autumn,PKR 3989,Linen
975,Mini Sneakers,Sneakers,Red,XS,Female,Winter,PKR 6421,Wool
976,Zip Sneakers,Sneakers,Pink,XL,Female,Autumn,PKR 3234,Nylon
977,Sporty Sneakers,Sneakers,Blue,XS,Female,Summer,PKR 4223,Wool
978,Classic Handbag,Handbag,Pink,,Male,Spring,PKR 4409,Cotton
979,Graphic Heels,Heels,Beige,,Male,Autumn,PKR 2402,Linen
980,Classic Shorts,Shorts,Brown,M,Male,Autumn,PKR 3053,Denim
981,Floral Handbag,Handbag,Brown,,Male,Spring,PKR 5427,Denim
982,Floral Jacket,Jacket,Green,M,Female,Winter,PKR 8781,Polyester
983,Urban Jeans,Jeans,White,L,Male,Winter,PKR 5960,Cotton
984,Elegant Hoodie,Hoodie,Black,XS,Female,Autumn,PKR 6345,Polyester
985,Mini Hoodie,Hoodie,White,S,Unisex,Autumn,PKR 2015,Leather
986,Floral Crop Top,Crop Top,Grey,L,Female,Winter,PKR 5857,Silk
987,Sporty Jacket,Jacket,Green,S,Male,Summer,PKR 5525,Linen
988,Elegant Jeans,Jeans,Green,M,Male,Autumn,PKR 8950,Silk
989,Casual Jacket,Jacket,White,M,Female,Summer,PKR 2411,Denim
990,Floral Hoodie,Hoodie,Blue,XL,Male,Autumn,PKR 5059,Polyester
991,Zip Crop Top,Crop Top,Black,XS,Male,Autumn,PKR 6128,Polyester
992,Mini Jeans,Jeans,Green,S,Female,Autumn,PKR 3702,Linen
993,Elegant Skirt,Skirt,Red,M,Female,Spring,PKR 6843,Polyester
994,Floral Crop Top,Crop Top,Red,L,Female,Autumn,PKR 2599,Cotton
995,Urban Hoodie,Hoodie,Beige,L,Male,Spring,PKR 4627,Nylon
996,Mini Hoodie,Hoodie,Pink,M,Female,Summer,PKR 2610,Silk
997,Mini Skirt,Skirt,Yellow,M,Female,Winter,PKR 2271,Nylon
998,Mini Boots,Boots,Black,L,Unisex,Winter,PKR 1696,Denim
999,Graphic Shorts,Shorts,Yellow,S,Female,Spring,PKR 8580,Silk
1000,Relaxed Hoodie,Hoodie,Beige,M,Unisex,Winter,PKR 8580,Leather
